Subject,Image,NSED,SLJ
Sub101,NL01,Low,0
Sub101,NL02,Low,0
Sub101,NL03,Low,0
Sub101,NL04,Low,0
Sub101,NL05,Low,0
Sub101,NL06,Low,0
Sub101,NL07,Low,0
Sub101,NL08,Low,0
Sub101,NL09,Low,0
Sub101,NL10,Low,1
Sub101,NL11,Low,0
Sub101,NL12,Low,0
Sub101,NL13,Low,0
Sub101,NL14,Low,1
Sub101,NL15,Low,0
Sub101,NL16,Low,0
Sub101,NL17,Low,0
Sub101,NL18,Low,1
Sub101,NL19,Low,0
Sub101,NL20,Low,0
Sub101,NH01,High,1
Sub101,NH02,High,0
Sub101,NH03,High,0
Sub101,NH04,High,1
Sub101,NH05,High,0
Sub101,NH06,High,1
Sub101,NH07,High,1
Sub101,NH08,High,1
Sub101,NH09,High,0
Sub101,NH10,High,0
Sub101,NH11,High,0
Sub101,NH12,High,1
Sub101,NH13,High,0
Sub101,NH14,High,0
Sub101,NH15,High,1
Sub101,NH16,High,1
Sub101,NH17,High,0
Sub101,NH18,High,1
Sub101,NH19,High,0
Sub101,NH20,High,0
Sub102,NL01,Low,0
Sub102,NL02,Low,0
Sub102,NL03,Low,0
Sub102,NL04,Low,0
Sub102,NL05,Low,0
Sub102,NL06,Low,1
Sub102,NL07,Low,0
Sub102,NL08,Low,0
Sub102,NL09,Low,0
Sub102,NL10,Low,0
Sub102,NL11,Low,0
Sub102,NL12,Low,0
Sub102,NL13,Low,0
Sub102,NL14,Low,0
Sub102,NL15,Low,0
Sub102,NL16,Low,0
Sub102,NL17,Low,0
Sub102,NL18,Low,0
Sub102,NL19,Low,0
Sub102,NL20,Low,0
Sub102,NH01,High,0
Sub102,NH02,High,0
Sub102,NH03,High,1
Sub102,NH04,High,0
Sub102,NH05,High,0
Sub102,NH06,High,0
Sub102,NH07,High,0
Sub102,NH08,High,0
Sub102,NH09,High,0
Sub102,NH10,High,0
Sub102,NH11,High,0
Sub102,NH12,High,0
Sub102,NH13,High,0
Sub102,NH14,High,0
Sub102,NH15,High,0
Sub102,NH16,High,0
Sub102,NH17,High,1
Sub102,NH18,High,0
Sub102,NH19,High,0
Sub102,NH20,High,0
Sub103,NL01,Low,0
Sub103,NL02,Low,0
Sub103,NL03,Low,0
Sub103,NL04,Low,0
Sub103,NL05,Low,0
Sub103,NL06,Low,0
Sub103,NL07,Low,0
Sub103,NL08,Low,0
Sub103,NL09,Low,0
Sub103,NL10,Low,0
Sub103,NL11,Low,0
Sub103,NL12,Low,0
Sub103,NL13,Low,0
Sub103,NL14,Low,0
Sub103,NL15,Low,0
Sub103,NL16,Low,0
Sub103,NL17,Low,0
Sub103,NL18,Low,0
Sub103,NL19,Low,0
Sub103,NL20,Low,0
Sub103,NH01,High,0
Sub103,NH02,High,0
Sub103,NH03,High,0
Sub103,NH04,High,0
Sub103,NH05,High,0
Sub103,NH06,High,1
Sub103,NH07,High,0
Sub103,NH08,High,0
Sub103,NH09,High,0
Sub103,NH10,High,0
Sub103,NH11,High,0
Sub103,NH12,High,0
Sub103,NH13,High,0
Sub103,NH14,High,0
Sub103,NH15,High,0
Sub103,NH16,High,0
Sub103,NH17,High,0
Sub103,NH18,High,0
Sub103,NH19,High,0
Sub103,NH20,High,0
Sub104,NL01,Low,0
Sub104,NL02,Low,0
Sub104,NL03,Low,0
Sub104,NL04,Low,0
Sub104,NL05,Low,0
Sub104,NL06,Low,0
Sub104,NL07,Low,0
Sub104,NL08,Low,0
Sub104,NL09,Low,0
Sub104,NL10,Low,0
Sub104,NL11,Low,0
Sub104,NL12,Low,0
Sub104,NL13,Low,0
Sub104,NL14,Low,0
Sub104,NL15,Low,0
Sub104,NL16,Low,0
Sub104,NL17,Low,0
Sub104,NL18,Low,0
Sub104,NL19,Low,0
Sub104,NL20,Low,0
Sub104,NH01,High,0
Sub104,NH02,High,0
Sub104,NH03,High,0
Sub104,NH04,High,0
Sub104,NH05,High,0
Sub104,NH06,High,0
Sub104,NH07,High,0
Sub104,NH08,High,0
Sub104,NH09,High,0
Sub104,NH10,High,0
Sub104,NH11,High,0
Sub104,NH12,High,0
Sub104,NH13,High,0
Sub104,NH14,High,0
Sub104,NH15,High,0
Sub104,NH16,High,0
Sub104,NH17,High,0
Sub104,NH18,High,0
Sub104,NH19,High,0
Sub104,NH20,High,0
Sub105,NL01,Low,0
Sub105,NL02,Low,0
Sub105,NL03,Low,0
Sub105,NL04,Low,0
Sub105,NL05,Low,0
Sub105,NL06,Low,0
Sub105,NL07,Low,0
Sub105,NL08,Low,0
Sub105,NL09,Low,0
Sub105,NL10,Low,0
Sub105,NL11,Low,0
Sub105,NL12,Low,0
Sub105,NL13,Low,0
Sub105,NL14,Low,1
Sub105,NL15,Low,0
Sub105,NL16,Low,0
Sub105,NL17,Low,0
Sub105,NL18,Low,0
Sub105,NL19,Low,0
Sub105,NL20,Low,0
Sub105,NH01,High,0
Sub105,NH02,High,0
Sub105,NH03,High,0
Sub105,NH04,High,0
Sub105,NH05,High,0
Sub105,NH06,High,1
Sub105,NH07,High,0
Sub105,NH08,High,0
Sub105,NH09,High,0
Sub105,NH10,High,0
Sub105,NH11,High,0
Sub105,NH12,High,0
Sub105,NH13,High,0
Sub105,NH14,High,0
Sub105,NH15,High,0
Sub105,NH16,High,0
Sub105,NH17,High,0
Sub105,NH18,High,0
Sub105,NH19,High,1
Sub105,NH20,High,0
Sub106,NL01,Low,0
Sub106,NL02,Low,0
Sub106,NL03,Low,0
Sub106,NL04,Low,0
Sub106,NL05,Low,0
Sub106,NL06,Low,0
Sub106,NL07,Low,0
Sub106,NL08,Low,0
Sub106,NL09,Low,0
Sub106,NL10,Low,0
Sub106,NL11,Low,1
Sub106,NL12,Low,0
Sub106,NL13,Low,0
Sub106,NL14,Low,0
Sub106,NL15,Low,0
Sub106,NL16,Low,0
Sub106,NL17,Low,0
Sub106,NL18,Low,0
Sub106,NL19,Low,0
Sub106,NL20,Low,0
Sub106,NH01,High,0
Sub106,NH02,High,0
Sub106,NH03,High,0
Sub106,NH04,High,0
Sub106,NH05,High,0
Sub106,NH06,High,0
Sub106,NH07,High,0
Sub106,NH08,High,0
Sub106,NH09,High,0
Sub106,NH10,High,0
Sub106,NH11,High,0
Sub106,NH12,High,0
Sub106,NH13,High,0
Sub106,NH14,High,0
Sub106,NH15,High,1
Sub106,NH16,High,0
Sub106,NH17,High,0
Sub106,NH18,High,0
Sub106,NH19,High,0
Sub106,NH20,High,0
Sub107,NL01,Low,0
Sub107,NL02,Low,0
Sub107,NL03,Low,0
Sub107,NL04,Low,0
Sub107,NL05,Low,0
Sub107,NL06,Low,0
Sub107,NL07,Low,0
Sub107,NL08,Low,0
Sub107,NL09,Low,0
Sub107,NL10,Low,0
Sub107,NL11,Low,0
Sub107,NL12,Low,0
Sub107,NL13,Low,0
Sub107,NL14,Low,0
Sub107,NL15,Low,1
Sub107,NL16,Low,0
Sub107,NL17,Low,1
Sub107,NL18,Low,0
Sub107,NL19,Low,0
Sub107,NL20,Low,0
Sub107,NH01,High,0
Sub107,NH02,High,0
Sub107,NH03,High,0
Sub107,NH04,High,0
Sub107,NH05,High,0
Sub107,NH06,High,0
Sub107,NH07,High,0
Sub107,NH08,High,0
Sub107,NH09,High,0
Sub107,NH10,High,0
Sub107,NH11,High,0
Sub107,NH12,High,0
Sub107,NH13,High,0
Sub107,NH14,High,0
Sub107,NH15,High,0
Sub107,NH16,High,0
Sub107,NH17,High,1
Sub107,NH18,High,0
Sub107,NH19,High,0
Sub107,NH20,High,0
Sub108,NL01,Low,0
Sub108,NL02,Low,0
Sub108,NL03,Low,0
Sub108,NL04,Low,0
Sub108,NL05,Low,0
Sub108,NL06,Low,0
Sub108,NL07,Low,1
Sub108,NL08,Low,0
Sub108,NL09,Low,1
Sub108,NL10,Low,0
Sub108,NL11,Low,1
Sub108,NL12,Low,0
Sub108,NL13,Low,0
Sub108,NL14,Low,0
Sub108,NL15,Low,0
Sub108,NL16,Low,0
Sub108,NL17,Low,0
Sub108,NL18,Low,0
Sub108,NL19,Low,1
Sub108,NL20,Low,0
Sub108,NH01,High,0
Sub108,NH02,High,0
Sub108,NH03,High,0
Sub108,NH04,High,0
Sub108,NH05,High,0
Sub108,NH06,High,0
Sub108,NH07,High,0
Sub108,NH08,High,0
Sub108,NH09,High,0
Sub108,NH10,High,0
Sub108,NH11,High,0
Sub108,NH12,High,0
Sub108,NH13,High,0
Sub108,NH14,High,0
Sub108,NH15,High,0
Sub108,NH16,High,0
Sub108,NH17,High,0
Sub108,NH18,High,0
Sub108,NH19,High,0
Sub108,NH20,High,0
Sub109,NL01,Low,0
Sub109,NL02,Low,0
Sub109,NL03,Low,0
Sub109,NL04,Low,0
Sub109,NL05,Low,0
Sub109,NL06,Low,0
Sub109,NL07,Low,1
Sub109,NL08,Low,0
Sub109,NL09,Low,0
Sub109,NL10,Low,1
Sub109,NL11,Low,1
Sub109,NL12,Low,0
Sub109,NL13,Low,0
Sub109,NL14,Low,0
Sub109,NL15,Low,0
Sub109,NL16,Low,0
Sub109,NL17,Low,0
Sub109,NL18,Low,0
Sub109,NL19,Low,1
Sub109,NL20,Low,0
Sub109,NH01,High,0
Sub109,NH02,High,0
Sub109,NH03,High,0
Sub109,NH04,High,1
Sub109,NH05,High,0
Sub109,NH06,High,0
Sub109,NH07,High,0
Sub109,NH08,High,0
Sub109,NH09,High,0
Sub109,NH10,High,0
Sub109,NH11,High,0
Sub109,NH12,High,1
Sub109,NH13,High,0
Sub109,NH14,High,0
Sub109,NH15,High,0
Sub109,NH16,High,0
Sub109,NH17,High,0
Sub109,NH18,High,0
Sub109,NH19,High,0
Sub109,NH20,High,0
Sub110,NL01,Low,0
Sub110,NL02,Low,0
Sub110,NL03,Low,0
Sub110,NL04,Low,0
Sub110,NL05,Low,0
Sub110,NL06,Low,0
Sub110,NL07,Low,0
Sub110,NL08,Low,0
Sub110,NL09,Low,0
Sub110,NL10,Low,0
Sub110,NL11,Low,0
Sub110,NL12,Low,0
Sub110,NL13,Low,0
Sub110,NL14,Low,0
Sub110,NL15,Low,0
Sub110,NL16,Low,0
Sub110,NL17,Low,0
Sub110,NL18,Low,0
Sub110,NL19,Low,0
Sub110,NL20,Low,0
Sub110,NH01,High,0
Sub110,NH02,High,0
Sub110,NH03,High,0
Sub110,NH04,High,0
